Data,Estado,Medicamento,Apresentacao,Quantidade,Valor,Base
2021-10-28,BA,Acitretina,10mg - Comprimido/Cápsula,10500,19908,LAI
2025-10-20,BA,Acitretina,10mg - Comprimido/Cápsula,10500,34860,LAI
2023-10-20,BA,Acitretina,10mg - Comprimido/Cápsula,11300,39550,LAI
2022-10-28,BA,Acitretina,10mg - Comprimido/Cápsula,13600,17952,LAI
2023-04-18,BA,Acitretina,10mg - Comprimido/Cápsula,14000,18480,LAI
2025-04-16,BA,Acitretina,10mg - Comprimido/Cápsula,14100,49491,LAI
2025-07-03,BA,Acitretina,10mg - Comprimido/Cápsula,14100,49491,LAI
2024-05-21,BA,Acitretina,10mg - Comprimido/Cápsula,15000,52500,LAI
2023-11-27,BA,Acitretina,10mg - Comprimido/Cápsula,15000,52500,LAI
2022-06-30,BA,Acitretina,25mg - Comprimido/Cápsula,2000,5120,LAI
2022-09-30,BA,Acitretina,25mg - Comprimido/Cápsula,4500,11520,LAI
2025-10-23,BA,Acitretina,25mg - Comprimido/Cápsula,7770,62703.9,LAI
2022-04-29,BA,Acitretina,25mg - Comprimido/Cápsula,8000,20480,LAI
2021-03-12,BA,Acitretina,25mg - Comprimido/Cápsula,8000,40000,LAI
2022-03-03,BA,Acitretina,25mg - Comprimido/Cápsula,10000,49220,LAI
2024-11-04,BA,Acitretina,25mg - Comprimido/Cápsula,10500,103635,LAI
2024-05-21,BA,Acitretina,25mg - Comprimido/Cápsula,11000,103730,LAI
2025-03-21,BA,Acitretina,25mg - Comprimido/Cápsula,15000,148050,LAI
2024-11-04,BA,Acitretina,25mg - Comprimido/Cápsula,19500,192465,LAI
2021-03-15,BA,Acitretina,25mg - Comprimido/Cápsula,22000,69300,LAI
2024-05-21,BA,Acitretina,25mg - Comprimido/Cápsula,25000,235750,LAI
2023-04-18,BA,Acitretina,25mg - Comprimido/Cápsula,26800,68608,LAI
